,,,,Holder,Holder
,,,,Claim,Claim
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,linkedTestCertificate,Personal/Operational|Linked test certificate ID,,Unique identifier of the associated test certificate
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,recipient,Person identification|Event recipient,,The resource identifier for a schema used for event recipient identification.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,disease,Test information|Disease or agent targeted|Classification of Disease,Need for immunization against COVID-19|Adverse reaction to a COVID-19 vaccine,Disease or agent that the test provides detection of.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,testDescription,Test information|Test|Test description,Antibody to severe acute respiratory syndrome coronavirus 2 (substance)|Antigen of severe acute respiratory syndrome coronavirus 2 (substance)|Immunoglobulin G antibody to Severe acute respiratory syndrome coronavirus 2 (substance)|Immunoglobulin M antibody to Severe acute respiratory syndrome coronavirus 2 (substance)|Ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 (substance),Generic description of the test
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,testType,Test information|Test|Test type,"Bordetella pertussis DNA [Presence] in Nasopharynx by NAA with probe detection|Human RNase P RNA [Presence] in Specimen by NAA with probe detection|Human RNase P RNA [Presence] in Unspecified specimen by NAA with probe detection|Adenovirus DNA [Presence] in Nasopharynx by NAA with probe detection|Influenza virus A RNA [Presence] in Nasopharynx by NAA with probe detection|Influenza virus B RNA [Presence] in Nasopharynx by NAA with probe detection|Parainfluenza virus 1 RNA [Presence] in Nasopharynx by NAA with probe detection|Parainfluenza virus 2 RNA [Presence] in Nasopharynx by NAA with probe detection|Parainfluenza virus 3 RNA [Presence] in Nasopharynx by NAA with probe detection|Parainfluenza virus 4 RNA [Presence] in Nasopharynx by NAA with probe detection|Respiratory syncytial virus RNA [Presence] in Nasopharynx by NAA with probe detection|Respiratory syncytial virus A RNA [Presence] in Nasopharynx by NAA with probe detection|Respiratory syncytial virus B RNA [Presence] in Nasopharynx by NAA with probe detection|Human metapneumovirus RNA [Presence] in Nasopharynx by NAA with probe detection|Influenza virus A H1 RNA [Presence] in Nasopharynx by NAA with probe detection|Influenza virus A H3 RNA [Presence] in Nasopharynx by NAA with probe detection|Influenza virus A H1 2009 pandemic RNA [Presence] in Nasopharynx by NAA with probe detection|Influenza virus A Ag [Presence] in Nasopharynx by Rapid immunoassay|Influenza virus B Ag [Presence] in Nasopharynx by Rapid immunoassay|Adenovirus DNA [Presence] in Nasopharynx by NAA with non-probe detection|Human coronavirus HKU1 RNA [Presence] in Nasopharynx by NAA with non-probe detection|Human coronavirus NL63 RNA [Presence] in Nasopharynx by NAA with non-probe detection|Human coronavirus 229E RNA [Presence] in Nasopharynx by NAA with non-probe detection|Human coronavirus OC43 RNA [Presence] in Nasopharynx by NAA with non-probe detection|Human metapneumovirus RNA [Presence] in Nasopharynx by NAA with non-probe detection|Influenza virus A RNA [Presence] in Nasopharynx by NAA with non-probe detection|Influenza virus A H1 RNA [Presence] in Nasopharynx by NAA with non-probe detection|Influenza virus A H1 2009 pandemic RNA [Presence] in Nasopharynx by NAA with non-probe detection|Influenza virus A H3 RNA [Presence] in Nasopharynx by NAA with non-probe detection|Influenza virus B RNA [Presence] in Nasopharynx by NAA with non-probe detection|Rhinovirus+Enterovirus RNA [Presence] in Nasopharynx by NAA with non-probe detection|Respiratory syncytial virus RNA [Presence] in Nasopharynx by NAA with non-probe detection|Mycoplasma pneumoniae DNA [Presence] in Nasopharynx by NAA with non-probe detection|Chlamydophila pneumoniae DNA [Presence] in Nasopharynx by NAA with non-probe detection|Bordetella pertussis.pertussis toxin promoter region [Presence] in Nasopharynx by NAA with non-probe detection|Influenza virus A RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Influenza virus B RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Respiratory syncytial virus RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Bordetella parapertussis IS1001 DNA [Presence] in Nasopharynx by NAA with non-probe detection|Human coronavirus HKU1 RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Human coronavirus 229E RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Human bocavirus DNA [Presence] in Upper respiratory specimen by NAA with probe detection|Human coronavirus NL63 RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Human coronavirus OC43 RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Chlamydophila pneumoniae DNA [Presence] in Nasopharynx by NAA with probe detection|Mycoplasma pneumoniae DNA [Presence] in Nasopharynx by NAA with probe detection|Rhinovirus+Enterovirus RNA [Presence] in Nasopharynx by NAA with probe detection|Parainfluenza virus 1+2+3+4 RNA [Presence] in Nasopharynx by NAA with non-probe detection|Respiratory syncytial virus RNA [Presence] in Respiratory specimen by NAA with probe detection|Influenza virus B RNA [Presence] in Respiratory specimen by NAA with probe detection|Influenza virus A RNA [Presence] in Respiratory specimen by NAA with probe detection|Influenza virus A H3 RNA [Presence] in Upper respiratory specimen by NAA with probe detection|Influenza virus A H1 RNA [Presence] in Upper respiratory specimen by NAA with probe detection|SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1|SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2|SARS Coronavirus 2 RNA [Presence] in Unspecified specimen Qualitative by NAA with probe detection|SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID19) RNA [Presence] in Respiratory specimen by NAA with probe detection|SARS-related coronavirus RNA [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay|SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Rapid immunoassay|SARS coronavirus 2 IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay|SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay|SARS-CoV-2 (COVID19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay|SARS coronavirus 2 IgM Ab [Presence] in Serum or Plasma by Rapid immunoassay|SARS coronavirus 2 IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay|SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay|SARS-CoV-2 (COVID19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay|SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID19) N gene [Presence] in Respiratory specimen by NAA with probe detection|SARS coronavirus 2 RdRp gene [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID-19) RdRp gene [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID-19) IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory specimen by Rapid immunoassay|SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID-19) ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection|SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID19) IgG Ab [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum or Plasma by Immunoassay|SARS coronavirus 2 RNA [Presence] in Nasopharynx by NAA with non-probe detection|SARS-CoV-2 (COVID-19) RNA [Presence] in Nasopharynx by NAA with non-probe detection|SARS-CoV-2 (COVID19) RNA [Presence] in Nasopharynx by NAA with non-probe detection|SARS coronavirus 2 S gene [Presence] in Respiratory specimen by NAA with probe detection|SARS coronavirus 2 N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N1|SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N1|SARS coronavirus 2 N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N2|SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N2|SARS-related coronavirus E gene [Presence] in Respiratory specimen by NAA with probe detection|SARS coronavirus 2 RNA [Presence] in Nasopharynx by NAA with probe detection|SARS-CoV-2 (COVID-19) RNA [Presence] in Nasopharynx by NAA with probe detection|SARS coronavirus 2 N gene [Presence] in Nasopharynx by NAA with probe detection|SARS-CoV-2 (COVID-19) N gene [Presence] in Nasopharynx by NAA with probe detection|SARS-CoV-2 (COVID19) IgG Ab [Presence] in DBS by Immunoassay|SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID19) Ab [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID-19) whole genome [Nucleotide sequence] in Isolate by Sequencing|SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay|SARS coronavirus 2 RNA [Presence] in Saliva (oral fluid) by NAA with probe detection|SARS-CoV-2 (COVID-19) RNA [Presence] in Saliva (oral fluid) by NAA with probe detection|SARS coronavirus+SARS coronavirus 2 Ag [Presence] in Respiratory specimen by Rapid immunoassay|SARS-CoV+SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory specimen by Rapid immunoassay|SARS-CoV-2 (COVID19) RNA [Presence] in Nose by NAA with probe detection|SARS coronavirus 2 (COVID19) N gene [Presence] in Nose by NAA with probe detection|SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with probe detection|SARS-CoV-2 (COVID-19) IgM Ab [Presence] in DBS by Immunoassay|Influenza virus A + B and SARS-CoV-2 (COVID-19) identified in Respiratory specimen by NAA with probe detection|Influenza virus A and B and SARS-CoV-2 (COVID-19) identified in Respiratory specimen by NAA with probe detection|SARS coronavirus 2 RNA (COVID-19) [Presence] in Respiratory specimen by Sequencing|SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by Sequencing|SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by NAA with probe detection|SARS-CoV-2 (COVID19) N gene [Presence] in Saliva (oral fluid) by NAA with probe detection|SARS-CoV-2 (COVID-19) IgG+IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay|SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with non-probe detection|SARS-CoV-2 (COVID-19) S gene [Presence] in Respiratory specimen by Sequencing|SARS-CoV-2 (COVID-19) specific TCRB gene rearrangements [Presence] in Blood by Sequencing|SARS-CoV-2 (COVID-19) RdRp gene [Presence] in Saliva (oral fluid) by NAA with probe detection|SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Immunoassay|SARS-CoV-2 (COVID-19) RdRp gene [Presence] in Upper respiratory specimen by NAA with probe detection|SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Presence] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID-19) IgG Ab [Mass/volume] in Serum or Plasma by Immunoassay|SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with non-probe detection","Description of the type of test that was conducted, e.g. NAAT or rapid antigen test."
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,testCommercialName,Test information|Test commericial name,BD Veritor System for Rapid Detection of SARS-CoV-2|BD Veritor System for Rapid Detection of SARS-CoV-2 & Flu A+B|BinaxNOW COVID-19 Ag Card|BinaxNOW COVID-19 Ag 2 Card|BinaxNOW COVID-19 Ag Card Home Test|BinaxNOW COVID-19 Ag Card 2 Home Test|BinaxNOW COVID-19 Antigen Self Test|CareStart COVID-19 Antigen|Clip COVID Rapid Antigen Test|Ellume COVID-19 Home Test|LIAISON SARS-CoV-2 Ag|LumiraDx SARS-CoV-2 Ag Test|QuickVue At-Home COVID-19 Test|QuickVue At-Home OTC COVID-19 Test|QuickVue SARS Antigen Test|Sampinute COVID-19 Antigen MIA|Simoa SARS-CoV-2 N Protein Antigen Test|Sofia 2 Flu + SARS Antigen FIA|Sofia SARS Antigen FIA|Status COVID-19/Flu|VITROS Immunodiagnostic Products SARS-CoV-2 Antigen Reagent Pack used in combination with the VITROS Immunodiagnostic Products SARS-CoV-2 Antigen Calibrator,Commercial or brand name of the test.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,testManufacturer,Test information|Test manufacturer,"Access Bio, Inc.|Abbott Diagnostics Scarborough, Inc.|Becton, Dickinson and Company (BD)|Celltrion USA, Inc.|DiaSorin, Inc.|Ellume Limited|Luminostics, Inc.|LumiraDx UK Ltd.|Ortho Clinical Diagnostics, Inc.|Princeton BioMeditech Corp.|Quanterix Corporation|Quidel Corporation",Legal manufacturer of the test.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,dateOfSample,Test information|Date and time of the test sample collection,,Date and time when the sample was collected.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,dateOfResult,Test information|Date and time of the test result production,,Date and time when the test result was produced.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,testResult,Test information|Result of the test,At increased risk of exposure to Severe acute respiratory syndrome coronavirus 2 (finding)|Severe acute respiratory syndrome coronavirus 2 antibody test positive (finding)|Severe acute respiratory syndrome coronavirus 2 antibody test negative (finding)|Hypersensitivity to vaccine product containing only Severe acute respiratory syndrome coronavirus 2 messenger ribonucleic acid (finding)|Severe acute respiratory syndrome coronavirus 2 detected (finding)|Severe acute respiratory syndrome coronavirus 2 not detected (finding)|Asymptomatic Severe acute respiratory syndrome coronavirus 2 infection (finding),"For example, negative, positive, inconclusive or void."
